,Feature,Ranking
233,yr_renovated X yr_built,213
234,yr_renovated X zipcode,225
235,yr_renovated X lat,234
236,yr_renovated X long,237
237,yr_renovated X sqft_living15,312
238,yr_renovated X sqft_lot15,262
239,zipcode X bedrooms,211
240,zipcode X bathrooms,266
241,zipcode X sqft_living,250
242,zipcode X sqft_lot,248
243,zipcode X floors,219
244,zipcode X waterfront,235
245,zipcode X view,292
246,zipcode X condition,228
247,zipcode X grade,288
248,zipcode X sqft_above,229
249,zipcode X sqft_basement,230
250,zipcode X yr_built,261
251,zipcode X yr_renovated,231
252,zipcode X lat,243
253,zipcode X long,245
254,zipcode X sqft_living15,246
255,zipcode X sqft_lot15,249
256,lat X bedrooms,72
257,lat X bathrooms,69
258,lat X sqft_living,6
259,lat X sqft_lot,37
260,lat X floors,56
261,lat X waterfront,45
262,lat X view,39
263,lat X condition,73
264,lat X grade,57
265,lat X sqft_above,41
266,lat X sqft_basement,5
267,lat X yr_built,68
268,lat X yr_renovated,3
269,lat X zipcode,46
270,lat X long,60
271,lat X sqft_living15,33
272,lat X sqft_lot15,2
273,long X bedrooms,103
274,long X bathrooms,88
275,long X sqft_living,113
276,long X sqft_lot,114
277,long X floors,119
278,long X waterfront,105
279,long X view,110
280,long X condition,125
281,long X grade,117
282,long X sqft_above,95
283,long X sqft_basement,120
284,long X yr_built,107
285,long X yr_renovated,100
286,long X zipcode,93
287,long X lat,97
288,long X sqft_living15,99
289,long X sqft_lot15,108
290,sqft_living15 X bedrooms,311
291,sqft_living15 X bathrooms,310
292,sqft_living15 X sqft_living,304
293,sqft_living15 X sqft_lot,296
294,sqft_living15 X floors,316
295,sqft_living15 X waterfront,306
296,sqft_living15 X view,297
297,sqft_living15 X condition,298
298,sqft_living15 X grade,315
299,sqft_living15 X sqft_above,313
300,sqft_living15 X sqft_basement,299
301,sqft_living15 X yr_built,301
302,sqft_living15 X yr_renovated,300
303,sqft_living15 X zipcode,302
304,sqft_living15 X lat,303
305,sqft_living15 X long,305
306,sqft_living15 X sqft_lot15,314
307,sqft_lot15 X bedrooms,70
308,sqft_lot15 X bathrooms,67
309,sqft_lot15 X sqft_living,59
310,sqft_lot15 X sqft_lot,66
311,sqft_lot15 X floors,53
312,sqft_lot15 X waterfront,23
313,sqft_lot15 X view,36
314,sqft_lot15 X condition,27
315,sqft_lot15 X grade,24
316,sqft_lot15 X sqft_above,61
317,sqft_lot15 X sqft_basement,42
318,sqft_lot15 X yr_built,26
319,sqft_lot15 X yr_renovated,32
320,sqft_lot15 X zipcode,47
321,sqft_lot15 X lat,50
322,sqft_lot15 X long,52
323,sqft_lot15 X sqft_living15,160
